10, 1, 2.9176e+08, 3.58764e+07, 2.03037e+07, 0, 2.26652e+08, 8.9286e+06, 0.988102, 189004, 2.35037e+07, 4.07399e+06, 21555, 55839.6, 104917, 132575, 1.10991e+07, 444.646, 111.161, 188448, 0, 1.02325e+07, 1.16844e+07, 44.6678, 6.51751, 5290.89, 0.0223386, 31.25, 12.8, 48, 33, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
7, 1, 1.91266e+08, 2.32375e+07, 1.3044e+07, 0, 1.46804e+08, 8.17998e+06, 0.879628, 176369, 1.85091e+07, 4.60916e+06, 26133.6, 49709.6, 92739.3, 126135, 7.50369e+06, 395.833, 98.9582, 175874, 0, 8.86886e+06, 7.98807e+06, 53.2841, 6.98442, 5669.93, 0.0365168, 34.43, 16, 61.071, 34.285, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
5, 1, 1.27154e+08, 1.5594e+07, 7.97105e+06, 0, 9.85162e+07, 5.07308e+06, 0.756216, 144606, 1.53775e+07, 3.57416e+06, 24716.5, 42735.3, 74961.9, 101463, 6.10513e+06, 340.297, 42.5371, 144224, 0, 7.54269e+06, 6.53116e+06, 64.9988, 8.51854, 6915.33, 0.0669937, 43.75, 19.2, 76.5, 36, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
3, 1, 9.67808e+07, 1.17414e+07, 6.00744e+06, 0, 7.41769e+07, 4.85507e+06, 0.64767, 107284, 1.37039e+07, 2.89363e+06, 26971.7, 36601.2, 66410.5, 70332.9, 5.44405e+06, 291.452, 36.4315, 106956, 0, 6.50348e+06, 5.77299e+06, 74.218, 11.482, 9321.06, 0.118639, 68.26, 30, 120, 48, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
2, 1, 6.87718e+07, 8.13334e+06, 4.64265e+06, 0, 5.1383e+07, 4.61279e+06, 0.433791, 86952.4, 7.93433e+06, 1.67876e+06, 19306.7, 24514.4, 31151.7, 62203.6, 3.85334e+06, 195.206, 24.4007, 86732.8, 0, 2.76814e+06, 4.01684e+06, 128.141, 14.1668, 11500.5, 0.205997, 120, 42, 157.5, 57, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
1, 1, 4.6126e+07, 5.43582e+06, 2.86987e+06, 0, 3.43412e+07, 3.47915e+06, 0.397099, 83260.3, 5.73547e+06, 2.15759e+06, 25913.8, 22440.9, 29165.9, 60604.9, 2.7206e+06, 178.694, 22.3368, 83059.3, 0, 1.99905e+06, 2.86889e+06, 156.066, 14.795, 12010.5, 0.320751, 144, 80, 300, 80, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
22, 2, 7.20308e+08, 8.74786e+07, 6.31289e+07, 0, 5.52652e+08, 1.70477e+07, 1.14499, 197891, 7.51271e+07, 5.75155e+06, 29064.3, 64705.8, 159417, 132502, 2.09387e+07, 515.246, 128.811, 197247, 0, 4.90213e+07, 2.19329e+07, 15.2307, 6.22482, 5053.29, 0.00864189, 28, 10, 28.5, 28, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
14, 2, 6.4007e+08, 7.63114e+07, 6.26863e+07, 0, 4.82103e+08, 1.89698e+07, 1.12446, 155209, 4.7917e+07, 3.05475e+06, 19681.5, 63545.5, 127331, 90993.1, 2.25226e+07, 506.006, 126.502, 154577, 0, 1.92075e+07, 2.49294e+07, 24.167, 7.93661, 6442.91, 0.0123996, 30.8, 10.6, 41.7825, 41.142, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
10, 2, 2.9176e+08, 3.58764e+07, 2.03037e+07, 0, 2.26652e+08, 8.9286e+06, 0.988102, 189004, 3.11079e+07, 4.07399e+06, 21555, 55839.6, 104917, 132575, 1.10991e+07, 444.646, 111.161, 188448, 0, 1.60797e+07, 1.18545e+07, 35.0133, 6.51751, 5290.89, 0.0223386, 31.25, 12.8, 48, 33, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
7, 2, 1.91266e+08, 2.32375e+07, 1.3044e+07, 0, 1.46804e+08, 8.17998e+06, 0.879628, 176369, 2.53977e+07, 4.60916e+06, 26133.6, 49709.6, 92739.3, 126135, 7.50369e+06, 395.833, 98.9582, 175874, 0, 1.39878e+07, 8.10549e+06, 41.0518, 6.98442, 5669.93, 0.0365168, 34.43, 16, 61.071, 34.285, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
